index_1,index_2,index_3,index_4,index_5
22,21,48,45,47
22,44,28,27,26
22,44,28,29,30
22,44,38,39,32
22,44,43,27,26
22,44,43,41,42
23,5,3,9,35
23,20,19,16,27
23,20,19,43,27
23,20,49,41,42
23,21,18,31,35
23,21,48,31,35
23,50,45,47,35
23,50,49,41,42
24,25,30,26,42
24,25,30,40,37
24,25,33,34,46
24,25,33,40,37
24,29,28,27,43
24,29,28,44,43
24,29,30,26,42
24,29,30,40,37
24,29,39,38,36
24,29,39,40,37
24,32,33,34,46
24,32,33,40,37
24,32,39,38,36
24,32,39,40,37
25,24,29,39,38
25,24,32,31,48
25,24,32,39,38
25,30,29,28,44
25,30,29,39,38
25,30,40,39,38
25,33,32,31,48
25,33,32,39,38
25,33,34,35,47
25,33,34,46,47
25,33,40,37,36
25,33,40,39,38
26,27,28,44,38
26,27,43,44,38
26,30,25,24,32
26,30,25,33,32
26,30,29,24,32
26,30,29,39,32
26,30,29,39,38
26,30,40,33,32
26,30,40,33,34
26,30,40,39,32
26,30,40,39,38
26,42,37,36,38
26,42,37,36,45
26,42,37,46,34
26,42,41,36,38
26,42,41,36,45
26,42,41,49,50
27,28,29,24,32
27,28,29,39,32
27,28,44,38,48
27,43,41,49,50
27,43,44,38,48
28,27,26,42,37
28,27,43,41,49
28,29,24,25,33
28,29,24,32,33
28,29,30,25,33
28,29,30,40,33
28,29,39,32,31
28,29,39,32,33
28,29,39,40,33
28,29,39,40,37
28,44,38,36,45
28,44,38,48,31
28,44,38,48,45
28,44,43,41,49
29,24,25,33,34
29,24,32,31,35
29,24,32,33,34
29,28,27,43,41
29,28,44,43,41
29,30,25,33,34
29,30,26,42,41
29,30,40,33,34
29,30,40,37,46
29,39,32,31,35
29,39,32,33,34
29,39,38,36,41
29,39,38,48,45
29,39,40,33,34
29,39,40,37,46
30,25,24,32,31
30,25,33,32,31
30,25,33,34,35
30,26,42,41,49
30,29,24,32,31
30,29,39,32,31
30,40,33,32,31
30,40,33,34,35
30,40,39,32,31
31,32,33,40,37
31,32,39,40,37
31,35,34,46,37
31,35,47,46,37
31,48,38,36,37
31,48,38,36,41
31,48,45,36,37
31,48,45,36,41
31,48,45,50,49
32,33,40,37,42
32,39,40,37,42
33,32,31,48,45
33,34,35,47,45
33,34,46,47,45
33,40,37,36,41
33,40,37,36,45
33,40,37,42,41
34,33,32,39,38
34,33,40,39,38
34,35,31,48,38
34,35,47,45,50
34,46,37,36,38
34,46,37,42,41
34,46,47,45,50
35,34,46,37,42
35,47,45,50,49
35,47,46,37,42
39,32,31,35,47
39,38,36,45,47
39,38,48,45,47
39,38,48,45,50
39,40,37,46,47
40,30,26,27,43
40,37,36,41,43
40,37,42,41,43
40,39,38,44,43
42,37,36,38,48
42,37,36,45,48
42,41,36,38,48
42,41,36,45,48
43,41,36,37,46
43,41,42,37,46
44,22,21,23,50
44,38,36,45,50
44,38,48,45,50
44,43,41,49,50
46,12,10,11,49
46,37,36,41,49
46,37,42,41,49
46,47,45,50,49
