index_1,index_2,index_3,index_4,index_5,index_6
7,10,42,41,36,38
7,10,42,41,36,45
7,26,27,28,44,38
7,26,27,43,44,38
7,26,30,29,39,38
7,26,30,40,39,38
7,26,42,37,36,38
7,26,42,37,36,45
7,26,42,41,36,38
7,26,42,41,36,45
8,6,1,15,17,28
8,6,7,26,27,28
8,6,25,24,29,28
8,6,25,30,29,28
8,9,3,5,4,20
8,9,3,5,23,20
8,9,35,31,48,38
8,12,10,11,4,20
8,12,10,11,49,20
8,12,46,37,36,38
8,34,33,32,39,38
8,34,33,40,39,38
8,34,35,31,48,38
8,34,46,37,36,38
9,3,1,2,16,19
9,3,1,15,24,29
9,3,5,4,20,19
9,3,5,23,20,19
9,3,18,15,24,29
9,3,18,21,22,19
9,3,18,21,22,44
9,8,6,25,24,29
9,8,6,25,30,29
9,8,12,10,42,41
9,13,12,10,42,41
9,13,14,11,49,41
9,13,14,50,49,41
9,13,47,45,36,41
9,35,31,32,24,29
9,35,31,32,39,29
9,35,31,48,38,44
9,35,47,45,36,41
10,7,2,1,3,18
10,7,2,1,15,18
10,7,2,16,17,22
10,7,2,16,19,22
10,7,6,1,3,18
10,7,6,1,15,18
10,7,6,25,24,32
10,7,6,25,33,32
10,11,4,5,3,18
10,11,4,5,23,21
10,11,4,20,19,22
10,11,4,20,23,21
10,11,14,5,3,18
10,11,14,5,23,21
10,11,14,50,23,21
10,11,14,50,45,48
10,11,49,20,19,22
10,11,49,20,23,21
10,11,49,50,23,21
10,11,49,50,45,48
10,12,8,9,3,18
10,12,8,9,35,31
10,12,8,34,33,32
10,12,8,34,35,31
10,12,13,9,3,18
10,12,13,9,35,31
10,12,13,47,35,31
10,12,13,47,45,48
10,12,46,34,33,32
10,12,46,34,35,31
10,12,46,47,35,31
10,12,46,47,45,48
10,42,37,36,38,48
10,42,37,36,45,48
10,42,37,40,33,32
10,42,37,40,39,32
10,42,41,36,38,48
10,42,41,36,45,48
10,42,41,43,19,22
10,42,41,43,44,22
11,4,2,16,17,28
11,4,2,16,27,28
11,4,5,3,18,31
11,10,7,26,27,28
11,10,12,46,34,33
11,10,42,26,27,28
11,10,42,37,40,33
11,14,5,3,18,31
11,14,13,9,35,31
11,14,13,47,35,31
11,14,50,45,48,31
11,49,41,43,27,28
11,49,41,43,44,28
11,49,50,45,48,31
12,8,6,25,24,29
12,8,6,25,30,29
12,8,9,3,18,21
12,10,7,26,30,29
12,10,11,49,20,19
12,10,42,26,30,29
12,10,42,41,43,19
12,13,9,3,18,21
12,13,14,5,23,21
12,13,14,50,23,21
12,13,47,45,48,21
12,46,37,40,30,29
12,46,37,40,39,29
12,46,47,45,48,21
13,9,3,1,2,16
13,9,3,1,15,24
13,9,3,18,15,24
13,9,3,18,21,22
13,9,8,6,25,24
13,9,8,6,25,30
13,9,35,31,32,24
13,9,35,31,32,39
13,12,8,6,25,24
13,12,8,6,25,30
13,12,10,7,2,16
13,12,10,7,26,30
13,12,10,42,26,30
13,12,46,37,40,30
13,12,46,37,40,39
13,14,5,4,2,16
13,14,5,4,20,19
13,14,5,23,20,19
13,14,5,23,21,22
13,14,11,4,2,16
13,14,11,4,20,19
13,14,11,49,20,19
13,14,11,49,41,43
13,14,50,23,20,19
13,14,50,23,21,22
13,14,50,49,20,19
13,14,50,49,41,43
13,47,35,31,32,24
13,47,35,31,32,39
13,47,45,36,38,39
13,47,45,48,21,22
13,47,45,48,38,39
13,47,46,37,40,30
13,47,46,37,40,39
14,5,4,2,16,17
14,5,4,2,16,27
14,5,23,21,22,17
14,5,23,21,22,44
14,11,4,2,16,17
14,11,4,2,16,27
14,11,10,7,26,27
14,11,10,42,26,27
14,11,49,41,43,27
14,11,49,41,43,44
14,13,9,8,6,25
14,13,9,8,34,33
14,13,9,35,34,33
14,13,12,8,6,25
14,13,12,8,34,33
14,13,12,46,34,33
14,13,12,46,37,40
14,13,47,35,31,32
14,13,47,35,34,33
14,13,47,46,34,33
14,13,47,46,37,40
14,50,23,21,22,17
14,50,23,21,22,44
14,50,45,36,38,44
14,50,45,48,31,32
14,50,45,48,38,44
14,50,49,41,43,27
14,50,49,41,43,44
15,1,2,4,11,49
15,1,2,4,20,49
15,1,2,7,10,42
15,1,2,7,26,42
15,1,6,7,10,42
15,1,6,7,26,42
15,1,6,8,12,46
15,1,6,8,34,46
15,17,16,19,20,49
15,17,16,27,26,42
15,17,16,27,43,41
15,17,22,19,20,49
15,17,22,44,38,36
15,17,22,44,43,41
15,17,28,27,26,42
15,17,28,27,43,41
15,17,28,44,38,36
15,17,28,44,43,41
15,18,21,23,20,49
15,18,21,23,50,49
15,18,21,48,38,36
15,18,21,48,45,36
15,18,31,35,34,46
15,18,31,35,47,46
15,18,31,48,38,36
15,18,31,48,45,36
15,24,25,30,26,42
15,24,25,30,40,37
15,24,25,33,34,46
15,24,25,33,40,37
15,24,29,30,26,42
15,24,29,30,40,37
15,24,29,39,38,36
15,24,29,39,40,37
15,24,32,33,34,46
15,24,32,33,40,37
15,24,32,39,38,36
15,24,32,39,40,37
16,2,1,6,25,33
16,2,7,6,25,33
16,17,15,24,25,33
16,17,15,24,32,33
16,17,22,21,48,45
16,19,20,23,50,45
16,19,20,49,50,45
16,19,22,21,48,45
16,19,43,41,36,45
16,27,26,30,25,33
16,27,26,30,40,33
16,27,43,41,36,45
17,15,1,6,8,34
17,15,18,31,35,34
17,15,24,25,33,34
17,15,24,32,33,34
17,16,27,26,42,37
17,28,27,26,42,37
17,28,29,30,40,37
17,28,29,39,40,37
18,3,1,2,7,26
18,3,1,6,7,26
18,15,1,2,7,26
18,15,1,6,7,26
18,15,17,16,27,26
18,15,17,28,27,26
18,15,24,25,30,26
18,15,24,29,30,26
18,21,22,19,43,41
18,21,22,44,43,41
18,21,23,20,49,41
18,21,23,50,49,41
18,21,48,38,36,37
18,21,48,38,36,41
18,21,48,45,36,37
18,21,48,45,36,41
18,31,32,33,40,37
18,31,32,39,40,37
18,31,35,34,46,37
18,31,35,47,46,37
18,31,48,38,36,37
18,31,48,38,36,41
18,31,48,45,36,37
18,31,48,45,36,41
19,16,2,1,6,25
19,16,2,7,6,25
19,16,17,15,24,25
19,16,17,15,24,32
19,16,27,26,30,25
19,16,27,26,30,40
19,20,23,50,45,47
19,20,49,50,45,47
19,22,17,15,24,25
19,22,17,15,24,32
19,22,21,18,31,32
19,22,21,48,31,32
19,22,21,48,45,47
19,22,44,38,39,32
19,22,44,38,39,40
19,43,27,26,30,25
19,43,27,26,30,40
19,43,41,36,37,40
19,43,41,36,45,47
19,43,41,42,37,40
19,43,44,38,39,32
19,43,44,38,39,40
20,4,2,1,15,24
20,4,5,3,9,35
20,4,11,10,12,46
20,19,16,17,15,24
20,19,16,17,28,29
20,19,16,27,28,29
20,19,22,17,15,24
20,19,22,17,28,29
20,19,22,44,28,29
20,19,43,27,26,30
20,19,43,27,28,29
20,19,43,44,28,29
20,19,43,44,38,39
20,23,5,3,9,35
20,23,21,18,15,24
20,23,21,18,31,32
20,23,21,18,31,35
20,23,21,48,31,32
20,23,21,48,31,35
20,23,21,48,38,39
20,23,50,45,47,35
20,23,50,45,47,46
20,49,11,10,12,46
20,49,41,36,37,46
20,49,41,42,26,30
20,49,41,42,37,46
20,49,50,45,47,35
20,49,50,45,47,46
21,22,17,16,27,26
21,22,17,28,27,26
21,22,17,28,29,30
21,22,19,16,27,26
21,22,19,43,27,26
21,22,19,43,41,42
21,22,44,28,27,26
21,22,44,28,29,30
21,22,44,43,27,26
21,22,44,43,41,42
21,23,20,49,41,42
21,23,50,49,41,42
21,48,38,36,37,42
21,48,38,36,41,42
21,48,38,39,29,30
21,48,38,39,40,30
21,48,45,36,37,42
21,48,45,36,41,42
22,17,15,24,25,33
22,17,15,24,32,33
22,21,18,31,32,33
22,21,48,31,32,33
22,44,38,39,32,33
22,44,38,39,40,33
23,5,3,9,8,34
23,5,3,9,35,34
23,5,4,2,7,26
23,20,4,2,7,26
23,20,19,16,27,26
23,20,19,43,27,26
23,20,49,41,42,26
23,21,18,15,24,29
23,21,18,31,35,34
23,21,22,17,28,29
23,21,22,44,28,29
23,21,48,31,35,34
23,21,48,38,39,29
23,50,45,47,35,34
23,50,45,47,46,34
23,50,49,41,42,26
24,25,30,26,42,41
24,29,28,27,43,41
24,29,28,44,43,41
24,29,30,26,42,41
25,24,32,31,48,45
25,30,40,37,36,45
25,33,32,31,48,45
25,33,34,35,47,45
25,33,34,46,47,45
25,33,40,37,36,45
26,7,6,8,9,35
26,7,6,8,34,35
26,27,28,44,38,48
26,27,43,44,38,48
26,30,25,24,32,31
26,30,25,33,32,31
26,30,25,33,34,35
26,30,29,24,32,31
26,30,29,39,32,31
26,30,29,39,38,48
26,30,40,33,32,31
26,30,40,33,34,35
26,30,40,39,32,31
26,30,40,39,38,48
26,42,37,36,38,48
26,42,37,36,45,48
26,42,37,46,34,35
26,42,37,46,47,35
26,42,41,36,38,48
26,42,41,36,45,48
27,16,17,15,18,31
27,26,30,40,33,34
27,26,42,37,46,34
27,28,17,15,18,31
27,28,29,24,32,31
27,28,29,39,32,31
27,28,44,38,48,31
27,43,44,38,48,31
28,17,22,21,23,50
28,27,26,42,37,46
28,27,43,41,49,50
28,29,24,25,33,34
28,29,24,32,33,34
28,29,30,25,33,34
28,29,30,40,33,34
28,29,39,32,33,34
28,29,39,40,33,34
28,29,39,40,37,46
28,44,22,21,23,50
28,44,38,36,45,50
28,44,38,48,45,50
28,44,43,41,49,50
29,28,27,43,41,49
29,28,44,43,41,49
29,30,26,42,41,49
29,30,40,37,46,47
29,39,38,36,41,49
29,39,38,36,45,47
29,39,38,36,45,50
29,39,38,48,45,47
29,39,38,48,45,50
29,39,40,37,46,47
31,32,33,40,37,42
31,32,39,40,37,42
31,35,34,46,37,42
31,35,47,46,37,42
31,48,38,36,37,42
31,48,38,36,41,42
31,48,45,36,37,42
31,48,45,36,41,42
33,25,30,26,27,43
33,32,31,48,45,50
33,32,39,38,44,43
33,34,35,47,45,50
33,34,46,47,45,50
33,40,30,26,27,43
33,40,37,36,41,43
33,40,37,36,45,50
33,40,37,42,41,43
33,40,39,38,44,43
34,8,12,10,11,49
34,35,47,45,50,49
34,46,12,10,11,49
34,46,37,36,41,49
34,46,37,42,41,49
34,46,47,45,50,49
